==============================================================
  NetSupport RAT Infrastructure Hunter — 2026-05-30
==============================================================

📊 GESAMT AKTIVE HOSTS: 1035

🔴 NEU HEUTE (4)
     46.8.220.63        AS204490   Contel OOO                   RU  SSL:DESKTOP-TCRDU4C
     2.27.31.108        AS12576    Orange WBC Broadband         GB  SSL:DESKTOP-2NFCDE2
     5.236.37.121       AS58224    Telecommunication Company of Mazandaran IR  SSL:n/a
     185.78.76.189      AS216127   nuxt.cloud hosting provider  DE  SSL:DESKTOP-TCRDU4C

💀 VERSCHWUNDEN (412)
   45.39.210.145      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-04-15)
   103.35.190.190     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-04-16)
   45.89.53.224       AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-04-17)
   50.114.179.121     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-04-17)
   50.114.179.79      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-04-18)
   50.114.179.8       AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-04-19)
   45.39.210.30       AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-04-20)
   185.231.205.186    AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-04-21)
   50.114.179.216     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-04-21)
   176.125.243.169    AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-04-21)
   50.114.179.186     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-04-21)
   50.114.179.83      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-04-22)
   194.116.190.124    AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-04-22)
   45.12.109.178      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-08)
   45.39.210.178      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-08)
   45.15.185.158      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-08)
   50.114.167.166     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-08)
   5.252.22.222       AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-08)
   50.114.167.15      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-08)
   103.35.189.211     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-08)
   77.91.75.165       AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-08)
   45.150.65.11       AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-08)
   92.118.230.243     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-08)
   45.15.185.27       AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-08)
   50.114.179.184     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-08)
   45.89.106.133      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-08)
   104.164.137.115    AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-08)
   80.92.204.189      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-08)
   45.140.147.145     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-10)
   31.222.238.235     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-10)
   45.150.65.225      AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-11)
   23.230.139.250     AS18779    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-11)
   50.114.167.143     AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-11)
   45.39.79.198       AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-12)
   45.88.183.54       AS44477    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-12)
   45.39.40.61        AS48031    STARK INDUSTRIES SOLUTIONS LTD (seit 2026-05-14)
